step,eps_ate,pehe,co2_kg
685,1.597435,5.423318,
686,0.268055,1.497006,
687,0.237076,0.932650,
688,0.177886,0.799670,
689,0.126902,1.140413,
690,0.048526,1.206671,
691,0.097674,0.738275,
692,0.074700,0.680250,
693,0.191829,0.937192,
694,0.312598,0.916466,
695,0.160343,0.747468,
696,0.113042,2.343558,
697,0.179407,2.616275,
698,0.243183,0.644372,
699,0.007073,0.519992,
700,0.238557,0.813264,
701,0.288157,1.124835,
702,0.049450,0.692382,
703,0.617450,2.545249,
704,0.043554,0.622982,
705,0.113680,0.613245,
706,0.141532,1.112235,
707,0.013258,0.686958,
708,0.070066,0.708698,
709,0.527766,3.207342,
710,0.394434,1.839512,
711,0.294626,1.065088,
712,0.226284,0.797987,
713,0.277308,3.518188,
714,0.036797,0.680606,
715,0.062601,0.702957,
716,0.151987,1.681709,
717,0.331584,0.783980,
718,0.054089,0.881635,
719,0.150350,0.553955,
720,0.165503,2.319271,
721,0.016026,0.621740,
722,0.079053,0.646594,
723,0.196056,0.502417,
724,0.131525,4.401346,
725,0.288889,2.108729,
726,0.222698,2.284135,
727,0.080741,1.253342,
728,0.147536,0.710733,
729,0.688577,0.975535,
730,0.020331,0.630902,
731,0.072130,0.899041,
732,0.047432,0.875377,
733,0.072235,0.658469,
734,0.140891,0.585247,
735,0.126824,1.135203,
736,0.051171,0.764072,
737,0.156593,0.691661,
738,0.062979,1.979805,
739,0.021973,0.909359,
740,0.210459,0.788619,
741,0.023516,0.729860,
742,0.143469,0.707873,
743,1.135694,4.065113,
744,0.424876,1.486760,
745,0.313724,1.084619,
746,0.199202,1.029179,
747,0.126277,0.689682,
748,0.029445,1.179962,
749,0.380382,1.303379,
750,0.006576,0.807077,
751,0.383053,1.409181,
752,0.631853,1.093890,
753,0.312527,2.016042,
754,0.241580,0.734788,
755,0.120002,0.909100,
756,0.168930,0.831833,
757,0.029231,1.129553,
758,0.085885,1.365913,
759,0.280530,2.216840,
760,0.521025,1.474793,
761,0.469045,1.422537,
762,0.005356,1.160204,
763,0.002632,0.776149,
764,0.160008,1.665850,
765,0.068112,1.013067,
766,0.038454,1.619420,
767,0.100095,1.061153,
768,0.343501,0.981671,
769,0.059796,0.877816,
770,0.522760,9.304118,
771,0.047111,0.911585,
772,0.729989,18.185057,
773,0.123429,2.205368,
774,0.017997,2.431656,
775,0.262587,1.331542,
776,0.049990,2.824511,
777,0.250069,1.542299,
778,0.045159,1.088730,
779,0.158180,1.059265,
780,0.188631,0.860039,
781,0.221768,1.097811,
782,0.204168,1.242890,
783,0.170464,1.409729,
784,0.342595,1.034336,
785,0.085107,0.923121,
786,0.256225,2.021162,
787,0.419272,1.007082,
788,0.214330,4.508455,
789,0.292831,1.190529,
790,0.161595,1.084760,
791,0.447192,1.352312,
792,0.208568,0.780805,
793,0.553854,1.321337,
794,0.524386,1.954103,
795,0.223761,2.669833,
796,0.198127,1.510868,
797,0.084981,0.911154,
798,0.113229,0.879803,
799,0.069113,0.757698,
800,0.067050,1.011292,
801,0.207539,1.135781,
802,0.379832,1.209098,
803,0.173792,0.689016,
804,0.169460,0.864457,
805,0.328470,1.151220,
806,0.243778,2.979624,
807,0.049942,1.335097,
808,0.221402,0.591242,
809,0.042400,0.709912,
810,0.271438,1.006818,
811,0.212880,1.053134,
812,0.333636,2.290198,
813,0.340004,5.491239,
814,0.253288,5.943271,
815,0.193399,1.413300,
816,0.477646,1.127051,
817,0.035563,0.806690,
818,0.716356,2.119128,
819,0.209036,2.373859,
820,1.853477,8.941910,
821,0.202871,1.298794,
822,0.047876,1.285376,
823,0.188756,1.164671,
824,0.153073,0.740559,
825,0.099028,1.603875,
826,0.094497,5.984259,
827,0.192931,2.243447,
828,0.009347,0.987165,
829,0.288215,1.150891,
830,0.060546,0.860403,
831,0.069602,2.489822,
832,0.182719,0.997462,
833,0.359141,1.625175,
834,0.234110,1.560380,
835,0.050968,0.853661,
836,0.084989,0.661315,
837,0.137375,1.946277,
838,0.178033,1.137201,
839,0.212524,1.130839,
840,0.012430,0.934657,
841,0.416062,3.056792,
842,0.060974,0.723783,
843,0.399437,1.508115,
844,0.171925,0.573267,
845,0.356780,0.776459,
846,0.083850,0.633991,
847,0.137124,0.821116,
848,0.063980,2.244894,
849,0.231564,0.581847,
850,0.016696,1.197827,
851,0.004183,0.932580,
852,0.734654,2.094294,
853,0.017236,0.558167,
854,0.032428,0.510989,
855,0.099988,0.914120,
856,0.045183,1.884000,
857,0.146375,1.803045,
858,0.137949,0.698288,
859,0.106854,0.921585,
860,0.314383,0.766248,
861,0.134607,0.533118,
862,0.242791,0.630403,
863,0.055878,0.705543,
864,0.130527,0.713873,
865,0.082606,0.717319,
866,0.172810,1.376826,
867,0.060366,0.576613,
868,0.082858,1.077027,
869,0.045177,2.162066,
870,0.039324,0.768242,
871,0.380416,1.194780,
872,0.160231,2.334475,
873,0.252694,0.687719,
874,0.105699,0.527075,
875,0.019326,1.011742,
876,0.105005,0.831849,
877,0.298515,0.773844,
878,0.017036,0.800731,
879,0.025150,0.461543,
880,0.181484,1.267342,
881,0.023382,0.798507,
882,0.171561,0.755665,
883,0.082903,0.739953,
884,0.074680,1.804446,
885,0.174802,0.719368,
886,0.123481,0.648732,
887,0.477385,5.916805,
888,0.012824,1.155757,
889,0.170471,0.783803,
890,0.067230,1.308364,
891,0.387465,1.209759,
892,0.230188,0.955839,
893,0.244154,1.304133,
894,0.570438,2.024601,
895,0.378436,1.096502,
896,0.165797,1.215668,
897,0.228409,0.981443,
898,0.146829,1.177169,
899,0.226068,1.338016,
900,0.081845,0.995255,
901,0.008666,0.647181,
902,0.007700,2.480016,
903,0.298935,0.788563,
904,0.154980,0.740199,
905,0.012649,1.100414,
906,0.225949,0.830835,
907,0.033493,0.674480,
908,0.023078,0.483458,
909,0.053766,3.243435,
910,0.006660,0.654529,
911,0.413248,0.672508,
912,0.169944,0.820501,
913,0.142269,1.479521,
914,0.140788,0.777867,
915,0.211284,0.801184,
916,0.169079,0.649757,
917,0.036117,0.816381,
918,0.022504,0.903434,
919,0.307858,1.944059,
920,0.085130,1.404474,
921,0.296860,0.659880,
922,0.160968,0.537185,
923,0.346786,1.204271,
924,0.344962,3.914287,
925,0.539950,3.404882,
926,0.141874,1.192067,
927,0.197889,1.012633,
928,0.108378,1.330882,
929,0.323939,0.917649,
930,0.102265,0.840260,
931,0.153973,4.163351,
932,0.149219,0.973407,
933,0.030778,1.841068,
934,0.062983,1.187375,
935,0.042433,0.741259,
936,0.589698,2.043190,
937,0.144367,1.407394,
938,0.185802,0.666392,
939,0.320455,1.175755,
940,0.619774,1.138690,
941,0.080778,0.756562,
942,0.012309,0.588627,
943,0.134196,0.808437,
944,0.086964,0.567583,
945,0.248001,0.772960,
946,0.215745,0.704899,
947,0.012967,0.805251,
948,0.116219,1.873153,
949,0.040165,3.059725,
950,0.308512,0.889725,
951,0.228807,0.675010,
952,0.056440,1.036474,
953,0.032203,0.752636,
954,0.188585,0.884229,
955,0.190047,1.102100,
956,0.165645,1.062097,
957,1.124483,5.385465,
958,0.037277,1.837228,
959,0.213735,1.473695,
960,0.108299,2.092277,
961,0.453689,1.569130,
962,0.405098,13.815330,
963,0.218679,1.938848,
964,0.094668,0.683316,
965,0.046985,1.027958,
966,0.344389,1.573276,
967,0.017355,1.948909,
968,0.263348,0.827495,
969,0.243504,0.721183,
970,0.029995,0.974029,
971,0.067796,0.616056,
972,0.522455,2.719707,
973,0.024660,0.611277,
974,0.196126,1.958578,
975,0.121870,1.393216,
976,0.092844,1.069408,
977,0.383003,0.962628,
978,0.420288,1.131644,
979,0.003427,0.551221,
980,0.052509,0.655493,
981,0.016719,1.507131,
982,0.205105,1.405908,
983,0.376279,0.878222,
984,0.000223,0.750734,
985,0.114682,1.239326,
986,0.096011,0.959615,
987,0.232742,0.728267,
988,0.027411,4.711586,
989,0.139945,0.827940,
990,0.033931,1.240617,
991,0.376276,1.336780,
992,0.220593,1.535486,
993,0.195905,1.188666,
994,0.026858,0.750864,
995,0.295467,1.233627,
996,0.035554,0.791430,
997,0.609297,6.814590,
998,0.126430,0.784433,
999,0.129287,0.642399,
1000,0.054694,1.266623,
AVERAGE,0.201422,1.284709,0.067
