rep,lin_mmd_b,rbf_mmd_b,knn_overlap_b,tail_ipm_b,rho_b,mmd_sim_b,mmd_dsim_b,smd_latent_b_sim,smd_latent_b_dsim,lin_mmd_s,rbf_mmd_s,knn_overlap_s,tail_ipm_s,rho_s,mmd_sim_s,mmd_dsim_s,smd_latent_s_sim,smd_latent_s_dsim,mse_factual_b,mse_factual_s,ov_sim,ov_dsim,smd_sim,smd_dsim,pehe_b,pehe_s,delta_mmd,delta_pehe
14,0.03452876955270767,0.03827702537392319,0.8392857142857143,1.2847331762313843,0.9009842801615492,0.0750851700546834,0.02305795455097215,1.0239183902740479,0.5268256068229675,1.0078949928283691,0.03701934103061488,0.8169642857142857,7.031237602233887,0.9690001934403706,0.04283758170101537,0.02391355259275152,0.23474512994289398,0.37656643986701965,61.72260284423828,61.20418167114258,0.5925925925925926,0.9013035381750466,1.5675926208496094,0.36307159066200256,8.300589561462402,8.62739086151123,-0.0012576843433083074,0.3268013000488281
15,0.006385979242622852,0.012711292592157197,0.8630952380952381,1.4689956903457642,0.8519949220391935,0.041996120272788984,0.01671312233428257,0.725108802318573,0.4455457925796509,0.06069047376513481,0.010281371484874735,0.8363095238095238,6.867993354797363,0.9285358974915869,0.07370395325577694,0.014285747677822536,0.5792508721351624,0.20157992839813232,31.756359100341797,15.610502243041992,0.8888888888888888,0.8621973929236499,0.7153210639953613,0.48260998725891113,12.443533897399902,9.805173873901367,-0.0024299211072824622,-2.638360023498535
16,0.0031477457378059626,0.021227996699399343,0.8571428571428571,0.5258939862251282,0.4527557686159249,0.07637829956826958,0.018467877724293036,1.0684338808059692,0.45145371556282043,0.8987072110176086,0.04107162870245151,0.8095238095238095,6.326632499694824,0.9422958442561584,0.0318299852163636,0.04158275512893106,0.38536956906318665,0.5340002179145813,152.8864288330078,133.44140625,0.6666666666666666,0.8864059590316573,1.0061532258987427,0.4107314348220825,23.381908416748047,23.555076599121094,0.01984363200305217,0.17316818237304688
17,0.011491530574858189,0.012539745442526562,0.8630952380952381,1.9206573963165283,0.7631653758420401,0.037374106997330236,0.01344164408525006,0.640841007232666,0.5202653408050537,0.06003667414188385,0.0038912570618100384,0.8630952380952381,9.043706893920898,0.9444817959951662,0.045576676224579504,0.005354231778751384,0.2508496642112732,0.15413059294223785,95.6435546875,38.007713317871094,0.9111111111111111,0.8584729981378026,0.6373172402381897,0.4162924587726593,15.185905456542969,9.164472579956055,-0.008648488380716524,-6.021432876586914
18,0.005739965476095676,0.011966125405263983,0.8973214285714286,1.7959884405136108,0.9211994536438457,0.032942851621613034,0.015908001765361002,0.5752159357070923,0.50040602684021,0.0529092438519001,0.01065280072214414,0.8169642857142857,9.22197151184082,0.9548585625050383,0.046432741797607036,0.013610756317914086,0.4500828981399536,0.323493629693985,69.38068389892578,32.856910705566406,0.9925925925925926,0.8808193668528864,0.6778422594070435,0.4489815831184387,18.126033782958984,13.578155517578125,-0.001313324683119843,-4.547878265380859
19,0.008061022497713566,0.015193391469475404,0.8511904761904762,1.9415568113327026,0.9181236563802703,0.03928235205144892,0.021701117635776757,0.6920944452285767,0.4591568410396576,0.03059699758887291,0.006624143222215606,0.8571428571428571,10.472391128540039,0.9304029238074469,0.032631819760709835,0.008871093238644434,0.4152425229549408,0.10187263041734695,19.103792190551758,8.187131881713867,0.8814814814814815,0.8547486033519553,0.6060917377471924,0.43427544832229614,11.971235275268555,9.151164054870605,-0.008569248247259798,-2.820071220397949
20,0.03661982715129852,0.035965849515214754,0.8348214285714286,1.4336199760437012,0.8225041539753271,0.031218535136159353,0.029232099500687392,0.5293391346931458,0.6462454795837402,0.9450843930244446,0.05113244266021033,0.8125,7.291189193725586,0.8946339421194224,0.03904195097696017,0.04646631710012672,0.34119749069213867,0.4099081754684448,376.84039306640625,363.908203125,0.9555555555555556,0.8044692737430168,1.870897650718689,0.5623654723167419,82.64739990234375,82.14289855957031,0.015166593144995577,-0.5045013427734375
21,0.0015997810987755656,0.012552541617659507,0.8779761904761905,0.5181981921195984,0.33831535967100407,0.05028847893217081,0.013766500524380887,0.8466209173202515,0.5758562684059143,0.29835885763168335,0.0059475597309257555,0.8898809523809523,11.202024459838867,0.9500051981368132,0.034515767821639565,0.005445578146713426,0.5595815777778625,0.18934506177902222,20.5954647064209,26.699724197387695,0.837037037037037,0.8789571694599627,0.9088555574417114,0.4812863767147064,17.485471725463867,25.051944732666016,-0.006604981886733752,7.566473007202148
22,0.00494272168725729,0.011739093883816887,0.8616071428571429,1.8895410299301147,0.8891550591488203,0.06394272117497635,0.01448705966557906,0.8465576171875,0.40354397892951965,0.05972590297460556,0.011631986481310252,0.8214285714285714,8.544280052185059,0.9583040318288197,0.02074270011998247,0.02144913714255925,0.29006442427635193,0.23539625108242035,66.50839233398438,61.56243133544922,0.8592592592592593,0.8621973929236499,0.7342590093612671,0.415945440530777,14.750299453735352,13.897677421569824,-0.00010710740250663431,-0.8526220321655273
23,0.011309031397104263,0.016635036039253315,0.8497023809523809,1.468493103981018,0.8587817774987104,0.030428193305096607,0.02367732686560242,0.6619899868965149,0.6757227182388306,0.21415480971336365,0.01474834944014669,0.8377976190476191,6.869230270385742,0.9408374026707819,0.008733424968628944,0.02818046635519378,0.29683199524879456,0.2647022604942322,171.18682861328125,128.84713745117188,0.9629629629629629,0.8249534450651769,0.5335462689399719,0.5684930682182312,45.6484489440918,42.72975158691406,-0.001886686599106624,-2.9186973571777344
