rep,lin_mmd_b,rbf_mmd_b,knn_overlap_b,tail_ipm_b,rho_b,rbf_mmd_g0_b,rbf_mmd_g1_b,rbf_mmd_local_b,lin_mmd_s,rbf_mmd_s,knn_overlap_s,tail_ipm_s,rho_s,rbf_mmd_g0_s,rbf_mmd_g1_s,rbf_mmd_local_s
52,0.03038092888891697,0.02394986657067044,0.8571428571428571,1.6845473051071167,0.8433874018830991,0.04607930500837398,0.025571769331832472,0.02969158676685197,0.2008376270532608,0.0071489165105383945,0.8035714285714286,7.494197845458984,0.9628461132242214,0.041330315446964305,0.007236384328620393,0.014085611562216268
53,0.021796815097332,0.013864996335136603,0.875,2.079660415649414,0.8930364724537386,0.03123804464434199,0.012906011013002372,0.016588785626441133,0.6997172236442566,0.005632849215118307,0.8303571428571429,14.96652603149414,0.9135205092156248,0.03295110494780107,0.006284158821957542,0.011641357820452893
54,0.014715196564793587,0.014105063020519837,0.8883928571428571,1.9748812913894653,0.8836505778578237,0.043871020131675764,0.015649383413243068,0.021318908646856777,0.407473087310791,0.007632035298858031,0.8184523809523809,12.472078323364258,0.8884270976809083,0.019988296378423143,0.005864818110733028,0.008702124012724344
55,0.041935376822948456,0.02783407464829002,0.8303571428571429,1.7783771753311157,0.8972724122501564,0.08765108160425761,0.015381947893101877,0.029900300647575127,1.1280460357666016,0.03231226527780928,0.8422619047619048,8.119553565979004,0.8978755215124975,0.06957649433486102,0.011736210416442572,0.023355910310767707
56,0.002994342939928174,0.01723891718536008,0.8392857142857143,0.5409539341926575,0.21219489957531826,0.03561401909438722,0.020442750544968025,0.023490550030342415,0.01769733987748623,0.019543671324702916,0.7991071428571429,2.8027491569519043,0.4450169994838111,0.30457985655608877,0.012624807997559717,0.07127649185976422
57,0.012193063274025917,0.01229968170731699,0.8958333333333334,1.4830905199050903,0.9281474870710761,0.030096199392240952,0.015922363197304112,0.018769785647179817,0.1253090649843216,0.014252423656770041,0.8154761904761905,5.120900630950928,0.8940920635882171,0.05513339581274601,0.024886020359842664,0.03096250203564914
58,0.017707567662000656,0.023419913033223883,0.8735119047619048,1.3076114654541016,0.7578923560948126,0.01709267239754364,0.02975969323699279,0.02721497922906774,0.21954447031021118,0.030378236634677314,0.8035714285714286,4.5267767906188965,0.9823908575757535,0.015680457939202253,0.046419050881472135,0.04024388712074828
59,0.003917654510587454,0.022679126774379554,0.8541666666666666,0.6075431108474731,0.45541815444814576,0.05119849054589998,0.023333991714643232,0.028931770497708204,0.4711269438266754,0.036684605136685366,0.8333333333333334,5.452538013458252,0.9076887953563697,0.02582347430566201,0.04413932573174728,0.04045980200775694
60,0.006068263202905655,0.011935118788867216,0.8556547619047619,1.9301384687423706,0.7983221958464088,0.03659151842517039,0.016198842012535297,0.02029558504185931,0.1306709200143814,0.0078416121541246,0.8690476190476191,11.195454597473145,0.9676171330351501,0.029121897621922632,0.005681324147962297,0.010390367926213258
61,0.014036605134606361,0.02053393208362253,0.8452380952380952,1.2362024784088135,0.8265273910840385,0.025795620891222004,0.0204609493510145,0.021532646758645475,0.09368692338466644,0.026600391911973165,0.7991071428571429,5.337527275085449,0.9128784522839232,0.05441114860301066,0.02787305905925741,0.033204371690814985
62,0.007142271846532822,0.010562819302689874,0.8675595238095238,1.7837773561477661,0.8892146808419892,0.0401406574492027,0.011730224768876307,0.017437677762691877,0.05977423116564751,0.006090824921162086,0.8288690476190477,7.8235321044921875,0.8844102281890474,0.06143534504682768,0.005485907698693171,0.016725750023095193
63,0.029712101444602013,0.018920974623168996,0.8705357142857143,1.7746362686157227,0.8671948818867958,0.01984325405796139,0.020287273013293472,0.020198072776731225,0.698304295539856,0.01860776736085501,0.8229166666666666,7.779608726501465,0.8602536417633432,0.03269123049755296,0.027418290770860443,0.028477586698097777
64,0.048705920577049255,0.033975738655713794,0.7991071428571429,1.85659921169281,0.873611149071152,0.04009833575894606,0.029691422621303643,0.03178209713556216,1.4343605041503906,0.056875653591598185,0.8422619047619048,8.058721542358398,0.9703988402968207,0.04870150917462701,0.04654983518476852,0.04698209112023116
65,0.012892481870949268,0.015336252695411834,0.8720238095238095,1.7328375577926636,0.8586038990765418,0.030932261672371175,0.018883804844355256,0.02130425376069774,0.12542952597141266,0.008187316553068813,0.8541666666666666,8.46345329284668,0.921961865380334,0.022503426226862744,0.01088454034481523,0.01321869152647656
66,0.01623530499637127,0.02115101381900253,0.8824404761904762,1.517690658569336,0.8103117343155865,0.02804335181709794,0.02185896473929627,0.02310136392903321,0.47542405128479004,0.023701267846007235,0.8318452380952381,7.1955060958862305,0.9138217397749913,0.0450737322959347,0.029169130903510698,0.03236425171895302
67,0.0029688747599720955,0.018907527112379086,0.8705357142857143,0.5221507549285889,0.19730090276858564,0.06681835336795172,0.01580197573940101,0.0260508016022795,0.05391514673829079,0.023777983600296926,0.8065476190476191,5.119167804718018,0.8903004284787421,0.042092892927035885,0.047683806374427484,0.046560631797942564
68,0.06771353632211685,0.0415537694376642,0.8779761904761905,2.0897905826568604,0.9313914131095916,0.039536646850340085,0.04488919222620147,0.04381390409265788,4.461963653564453,0.04208327962023084,0.8422619047619048,17.82884979248047,0.9560856014914654,0.047441201011455436,0.04261709374645395,0.04358622243808371
69,0.04069710150361061,0.03223020298695278,0.8229166666666666,2.102344036102295,0.9257549141556728,0.04995838765076832,0.034482784126030896,0.03759172233412547,1.1970771551132202,0.028503827362821532,0.8125,10.257366180419922,0.9290782863659199,0.055799821738266364,0.02517850873626115,0.0313301117946997
70,0.0031224009580910206,0.01765218833542448,0.8288690476190477,0.5760918855667114,0.3114851807574875,0.10368655584532194,0.013549821746731694,0.03165764779332349,0.026471054181456566,0.01987556148368541,0.8303571428571429,3.3575968742370605,0.661857988821715,0.2628924802229473,0.02159926701408077,0.07007335002479056
71,0.039745163172483444,0.032391584645794724,0.8392857142857143,1.8066099882125854,0.8763217039562194,0.057502204942512236,0.0389293029659159,0.04266046630942856,2.311007499694824,0.030577772428664773,0.8065476190476191,12.992217063903809,0.9187914916785995,0.04261127398673148,0.04025942805000571,0.04073189709979436
