replica,PEHE,ATE_error
653,0.4874808,0.08695841
654,0.55903256,0.045387506
655,0.3804376,0.026633501
656,1.1950177,0.1655178
657,1.554741,0.03182316
658,0.94861716,0.25313497
659,0.74820465,0.06079483
660,5.932019,2.3569915
661,0.854878,0.14786434
662,0.5440039,0.038851738
663,1.0031976,0.25714493
664,0.823445,0.1344881
665,0.9567929,0.027030945
666,1.58162,0.08570576
667,0.7070501,0.12805128
668,0.25475362,0.1459136
669,0.5107777,0.11988664
670,0.35915306,0.120999575
671,0.81000423,0.11058378
672,0.48534688,0.020201206
673,33.382675,5.510545
674,0.58231574,0.15059829
675,0.74297726,0.19165802
676,15.937969,0.26565182
677,0.6128531,0.09751415
678,0.66802615,0.0037779808
679,1.8926209,0.01442337
680,0.36795717,0.035957813
681,1.3579777,0.5077958
682,0.9215596,0.1489954
683,1.1636815,0.33952904
684,31.049025,2.347221
685,2.789572,0.01655817
686,0.5917978,0.20348501
687,0.578642,0.016889572
688,0.28049734,0.108911514
689,0.7737271,0.070717335
690,0.8208179,0.07829571
691,0.5361993,0.22098017
692,0.53130287,0.11919713
693,0.62302387,0.1053555
694,0.62158006,0.20428562
695,0.54225004,0.011389732
696,1.1038337,0.08297205
697,0.8012511,0.08720946
698,0.25163698,0.09405255
699,0.50370276,0.077992916
700,0.5533833,0.06902242
701,0.93499935,0.110480785
702,0.6009221,0.05035448
703,1.5806595,0.05579567
704,0.5751112,0.1397996
705,0.3716181,0.05200863
706,0.9294888,0.01975298
707,0.63621706,0.10302305
708,0.6390717,0.15653563
709,3.0072775,0.10406065
710,8.33876,2.358938
711,0.8007542,0.026147366
712,0.5423418,0.12965536
713,3.065438,0.02722168
714,0.6371594,0.010803223
715,0.33884048,0.025631666
716,1.6178519,0.06060791
717,0.58100486,0.17959857
718,0.72185737,0.037510872
719,0.36748925,0.051520824
720,9.086965,0.092969894
721,0.35928467,0.06419945
722,0.53571385,0.11482096
723,0.30684748,0.09050441
724,2.0854762,0.042487144
725,1.7202708,0.06688976
726,1.8583513,0.5207157
727,0.84203917,0.31482315
728,0.44146177,0.108992815
729,0.6240763,0.23682737
730,0.65711236,0.29078817
731,1.1734078,0.06438303
732,0.57858455,0.040616274
733,0.5313319,0.04497075
734,0.12209216,0.028794765
735,0.80359334,0.0017139912
736,0.8738418,0.20243216
737,0.76960176,0.12026167
738,1.0537233,0.14787483
739,0.60882455,0.08004618
740,0.6532664,0.14735174
741,0.72384256,0.0032873154
742,0.52632624,0.18716383
743,4.007229,0.12742233
744,0.44731393,0.116083145
745,0.40551022,0.034279346
746,0.49417037,0.001657486
747,0.6511852,0.13692999
748,4.434496,2.0418177
749,0.6020053,0.107628345
750,0.3419074,0.07223296
751,0.75694066,0.06799364
752,0.41867405,0.07405329
753,1.3405595,0.2059946
754,0.51490164,0.014445305
755,0.68507594,0.10757828
756,0.40810135,0.2741499
757,0.9156307,0.26941156
758,0.8219489,0.026462555
759,1.4240878,0.01951456
760,0.9030433,0.034221172
761,1.1338812,0.115365386
762,0.9577005,0.21130657
763,0.6873985,0.1312046
764,1.1184009,0.027136803
765,0.9361663,0.17970753
766,1.5459857,0.13142252
767,0.7196272,0.063325405
768,0.61780524,0.0382905
769,0.6618485,0.061129093
770,8.607251,0.15553474
771,0.60643804,0.015444279
772,12.589665,0.40038967
773,0.59272254,0.16591549
774,1.0198262,0.065894365
775,0.33885422,0.0037446022
776,2.789385,0.18444109
777,0.6504724,0.007797718
778,0.4445827,0.102900505
779,0.6365676,0.119745255
780,0.55943,0.085247755
781,0.71227187,0.011641264
782,0.69915223,0.05919504
783,0.9809278,0.07911658
784,0.19110754,0.08475137
785,0.709307,0.020344734
786,0.8597562,0.09680605
787,0.6105428,0.20759392
788,1.9180282,0.00593248
789,0.5273211,0.04616356
790,0.6209268,0.042639732
791,0.78547686,0.07387352
792,0.6895412,0.030534267
793,0.5051972,0.059582233
794,6.977302,3.388585
795,2.255566,0.18065071
796,0.7814719,0.045862198
797,0.6219332,0.18618679
798,0.5172347,0.1448226
799,0.5159042,0.027431011
800,0.6434804,0.02522707
801,0.6734462,0.00015354156
802,0.67087954,0.039546967
803,0.16702482,0.03251505
804,0.69426286,0.17807388
805,0.7073662,0.0019886494
806,2.258455,0.0932703
807,0.47739115,0.25325108
808,0.54650974,0.10607505
809,0.11662733,0.03950405
810,0.58528566,0.12624359
811,0.8819674,0.09917116
812,1.0881737,0.2276721
813,1.8794951,0.07168794
814,2.7674642,0.0038852692
815,0.15168996,0.12783957
816,0.61576635,0.18509817
817,0.57256985,0.21489334
818,2.4256139,0.047635555
819,11.242526,2.0063944
820,37.01999,1.994269
821,0.8350948,0.18329597
822,0.81097615,0.23692322
823,0.80592966,0.06314039
824,0.42480284,0.12998772
825,0.7862242,0.0945425
826,2.2424452,0.046994686
827,1.2611763,0.038783073
828,0.6226969,0.029740095
829,0.59909713,0.004524231
830,0.6198254,0.14404154
831,1.2092067,0.05718589
832,0.7025319,0.2303071
833,1.5226955,0.013720989
834,0.8182445,0.21326208
835,0.5721128,0.11738515
836,0.5315538,0.17377567
837,1.0039101,0.09253931
838,0.74368125,0.10137749
839,0.8860076,0.009150505
840,0.7262847,0.08495712
841,1.6568003,0.0695796
842,0.2765435,0.06961608
843,1.1559402,0.27904892
844,0.4099042,0.21953368
845,0.5401051,0.061113358
846,0.19325669,0.049814463
847,0.80664337,0.06586981
848,0.99994785,0.1057744
849,0.4657904,0.18866968
850,0.6718435,0.14045572
851,0.73686695,0.12386632
852,1.395058,0.24425697
853,0.45779377,0.124931335
854,0.261165,0.08339977
